name,online_order,book_table,rating,votes,phone,location,type,dish_liked,cuisines,approx_cost_two_people,row_number
AB's - Absolute Barbecues,false,true,4.9,6375,040 45659912,BTM,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ","1,600",1
AB's - Absolute Barbecues,false,true,4.9,6375,040 45659912,BTM,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ","1,600",2
AB's - Absolute Barbecues,false,true,4.9,6404,040 45659912,BTM,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ","1,600",3
AB's - Absolute Barbecues,false,true,4.9,6452,040 45659912,BTM,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ","1,600",4
AB's - Absolute Barbecues,false,true,4.9,6404,040 45659912,BTM,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ","1,600",5
AB's - Absolute Barbecues,false,true,4.9,6404,040 45659912,BTM,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ","1,600",6
AB's - Absolute Barbecues,false,true,4.9,6490,040 45659912,BTM,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ","1,600",7
XO Belgian Waffle,true,false,4.5,549,080 45128804,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,8
Mudpipe Cafe,true,true,4.5,1872,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,9
Mudpipe Cafe,true,true,4.5,1874,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,10
XO Belgian Waffle,true,false,4.5,554,080 45128804,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,11
Mudpipe Cafe,true,true,4.5,1874,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,12
XO Belgian Waffle,true,false,4.5,583,080 49653483,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Kit Kat Shake","Desserts, Beverages",400,13
Mudpipe Cafe,true,true,4.5,1874,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,14
XO Belgian Waffle,true,false,4.5,557,+91 9900332623,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,15
Mudpipe Cafe,true,true,4.5,1878,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,16
XO Belgian Waffle,true,false,4.5,556,+91 9900332623,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,17
Mudpipe Cafe,true,true,4.5,1880,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,18
XO Belgian Waffle,true,false,4.5,558,+91 9900332623,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,19
Mudpipe Cafe,true,true,4.5,1880,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,20
Mudpipe Cafe,true,true,4.5,1879,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,21
XO Belgian Waffle,true,false,4.5,560,+91 9900332623,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,22
Mudpipe Cafe,true,true,4.5,1879,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,23
Mudpipe Cafe,true,true,4.5,1879,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,24
