name,online_order,book_table,rating,votes,phone,location,type,dish_liked,cuisines,approx_cost_two_people
Onesta,Yes,Yes,4.6,1755,+91 8049525686,Basavanagudi,"Casual Dining, Cafe","Barbeque Chicken Pizza, Mushroom Ravioli, Pasta, Lasagne, Berryblast, Mocktails, Potato Wedges","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.6,1755,+91 8049525686,Basavanagudi,"Casual Dining, Cafe","Barbeque Chicken Pizza, Mushroom Ravioli, Pasta, Lasagne, Berryblast, Mocktails, Potato Wedges","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3738,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3766,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3859,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli, Stuffed Chicken Pizza","Pizza, Cafe, Italian",600
