name,type
San Churro Cafe,"Cafe, Casual Dining"
Addhuri Udupi Bhojana,Quick Bites
Cafe Shuffle,Cafe
The Coffee Shack,Cafe
Caf-Eleven,Cafe
San Churro Cafe,"Cafe, Casual Dining"
T3H Cafe,Cafe
Woodee Pizza,Cafe
Redberrys,Cafe
Foodiction,Quick Bites
Faasos,Quick Bites
Chaatimes,Quick Bites
Kitchen Garden,Quick Bites
Kabab Magic,Quick Bites
The Biryani Cafe,Quick Bites
Chatar Patar,Quick Bites
Mane Thindi,Quick Bites
Bengaluru Coffee House,Quick Bites
Roll N Rock,Quick Bites
KFC,Quick Bites
Wahab,Quick Bites
Energy Addaa,Quick Bites
Grazers,Cafe
Kedia's Fun Food,Quick Bites
Just Shawarma,Quick Bites
Twiststick House,Quick Bites
Cool Corner,Quick Bites
Pizza Mane,Quick Bites
Pizza Stop,Quick Bites
Kollapuri's,Quick Bites
Harshi Super Sandwich,Quick Bites
The Lassi Park,Quick Bites
Hatti Kaapi,Quick Bites
The Chaat Shop,Quick Bites
South Kitchen,Quick Bites
Java City,Cafe
Kamat Bugle Rock,Quick Bites
Woodee Pizza,Cafe
Matru Sagar,Quick Bites
Desi Dawat,Quick Bites
Mast Punjabi,Quick Bites
Ruchis Point,Quick Bites
Cross Road Cafe,Cafe
Bakers Town,Cafe
The Airos,Cafe
The Krishna Grand Xpress,Quick Bites
Little Cafe,Cafe
1980s Games Cafe,Cafe
Sandwich Mama's And Frozen Monster,Quick Bites
Food Springs,Quick Bites
Maiyas,Quick Bites
Cafe Mondo,Cafe
Kataria's Pakwan,Quick Bites
Juicy Momos,Quick Bites
Cane-O-La,Quick Bites
Upahara Darshini,Quick Bites
Karnataka Bhel House,Quick Bites
Chai Point,"Beverage Shop, Quick Bites"
Janahaar,Quick Bites
Redberrys,Cafe
Utsav,Quick Bites
Cafe Shuffle,Cafe
San Churro Cafe,"Cafe, Casual Dining"
Mr. Singh Da Dhaba,Quick Bites
Biriyani Mane,Quick Bites
Brundhavana Food Point,Quick Bites
The Coffee Shack,Cafe
San Churro Cafe,"Cafe, Casual Dining"
Sri Venkateshwara Sweet Meat Stall,"Sweet Shop, Quick Bites"
Redberrys,Cafe
Cafe Shuffle,Cafe
The Coffee Shack,Cafe
Caf-Eleven,Cafe
San Churro Cafe,"Cafe, Casual Dining"
T3H Cafe,Cafe
Iyer's Tiffin Centre,Quick Bites
Taaza Thindi,Quick Bites
KFC,Quick Bites
Sri Laxmi Venkateshwara Coffee Bar,Quick Bites
Messy Bowl,Quick Bites
Janahaar,Quick Bites
Bengaluru Coffee House,Quick Bites
Foodiction,Quick Bites
The Biryani Cafe,Quick Bites
Addhuri Udupi Bhojana,Quick Bites
Hotel Mangala,Quick Bites
SLV Swadishta,Quick Bites
New Sagar Fast Food,Quick Bites
Pizza Stop,Quick Bites
Faasos,Quick Bites
SLV Refreshment,Quick Bites
Chatar Patar,Quick Bites
Utsav,Quick Bites
Mane Thindi,Quick Bites
Juicy Momos,Quick Bites
Matru Sagar,Quick Bites
Kavali,Quick Bites
Ranganna Military Hotel,Quick Bites
Vidyarthi Bhavan,Quick Bites
Kollapuri's,Quick Bites
Redberrys,Cafe
Udupi Sri Krishna Bhavan,Quick Bites
Ice Thunder,Quick Bites
South Kitchen,Quick Bites
Upahara Darshini,Quick Bites
Mahalaxmi Tiffin Room,Quick Bites
Sandwichwallas,Quick Bites
Kamat Bugle Rock,Quick Bites
Basavanagudi Mylari,Quick Bites
Chaatimes,Quick Bites
Vybhava,Quick Bites
Shree Venkateshwara North Karnataka Hotel,Quick Bites
Harshi Super Sandwich,Quick Bites
Butterly,Cafe
#refuel,Cafe
Kalmane Koffees,Cafe
Brews N Bites,"Quick Bites, Cafe"
Slate Cafe,Cafe
Dialogues,Cafe
Mudpipe Cafe,Cafe
Cuppa,Cafe
Woodee Pizza,Cafe
Swad Punjab Da,Quick Bites
Roti Wala,Quick Bites
Midnight Mania,Quick Bites
Krishna Kuteera,Quick Bites
Apna Punjab,Quick Bites
Paratha Junction,Quick Bites
Nellore Bhojanam,Quick Bites
Kalingas,Quick Bites
Kanteen The Eatery,Quick Bites
Litti Twist,Quick Bites
Five Star Chicken,Quick Bites
Pizza Hut,Quick Bites
Mahesh Friends Food Center,Quick Bites
Kabab Magic,Quick Bites
Burger King,Quick Bites
Adithya,Quick Bites
KFC,Quick Bites
Shuddh Desi Khana,Quick Bites
Just Shawarma,Quick Bites
PHEW (Play Hard Eat Wild),Cafe
The Shawarma Shop,Quick Bites
Pathaan Sir,Quick Bites
Gorbandh,Quick Bites
Grills & Rolls,Quick Bites
Yum In My Tum,Quick Bites
Magix's Parattha Roll,Quick Bites
Cravings,Quick Bites
Upahara Darshini,Quick Bites
Bikaner Jn,Quick Bites
Slate Cafe,Cafe
Chefeana,Quick Bites
Bangaliana,Quick Bites
McDonald's,Quick Bites
Pancuzzi,Cafe
Momo Jojo,Quick Bites
Chai Point,"Beverage Shop, Quick Bites"
#refuel,Cafe
Butterly,Cafe
Shetty's Kitchen,Quick Bites
Paratha Plaza,Quick Bites
Meat And Eat,Quick Bites
Laddoos,"Quick Bites, Dessert Parlor"
Dakshin Cafe,Quick Bites
Bun Town,"Cafe, Bakery"
Woodee Pizza,Cafe
Funky Punjab,Quick Bites
I Cool,Quick Bites
Oottupura Family Restaurant,Quick Bites
Vyanjan,Quick Bites
Chicken Man,Quick Bites
Baba Ka Dhaba,Quick Bites
California Burrito,Quick Bites
Tandoor Garden,Quick Bites
Chaitanya Cafe,Quick Bites
Pappu Da Dhaba,Quick Bites
Brews N Bites,"Quick Bites, Cafe"
Mudpipe Cafe,Cafe
D View Cafe,"Cafe, Quick Bites"
Tongue Twisters,Quick Bites
Brewz Coffee,Cafe
Bangalir Rannaghar,Quick Bites
Idly Pidly,Quick Bites
Waah Biryani,Quick Bites
Sree Krishna Kafe,Quick Bites
Daily Bread,"Bakery, Quick Bites"
Namana Garden,Quick Bites
Ishta Cafe,Quick Bites
Butterly,Cafe
World on a Swirl,"Dessert Parlor, Quick Bites"
Slate Cafe,Cafe
Daily Bread,"Bakery, Quick Bites"
Butterly,Cafe
#refuel,Cafe
Chai Point,"Beverage Shop, Quick Bites"
Krishna Kuteera,Quick Bites
California Burrito,Quick Bites
McDonald's,Quick Bites
Kanteen The Eatery,Quick Bites
Purani Dilli By Anand Sweets,Quick Bites
Shetty's Kitchen,Quick Bites
Cravings,Quick Bites
Burger King,Quick Bites
KFC,Quick Bites
World on a Swirl,"Dessert Parlor, Quick Bites"
Oottupura Family Restaurant,Quick Bites
Shuddh Desi Khana,Quick Bites
Just Shawarma,Quick Bites
Faasos,Quick Bites
Idly Pidly,Quick Bites
Pizza Hut,Quick Bites
Bangaliana,Quick Bites
Ishta Cafe,Quick Bites
Brews N Bites,"Quick Bites, Cafe"
Panchami Garden,Quick Bites
Bangalir Rannaghar,Quick Bites
Chefeana,Quick Bites
Nellore Bhojanam,Quick Bites
Waah Biryani,Quick Bites
Mudpipe Cafe,Cafe
White Horse,Quick Bites
Cuppa,Cafe
Grills & Rolls,Quick Bites
Chaitanya Cafe,Quick Bites
Sree Krishna Kafe,Quick Bites
Five Star Chicken,Quick Bites
Litti Twist,Quick Bites
Kalingas,Quick Bites
Gorbandh,Quick Bites
Baba Ka Dhaba,Quick Bites
Namana Garden,Quick Bites
Mahesh Friends Food Center,Quick Bites
San Churro Cafe,"Cafe, Casual Dining"
Tea Villa Cafe,"Cafe, Casual Dining"
Cafe Cosy,Cafe
Onesta,"Casual Dining, Cafe"
Redberrys,Cafe
Cafe Mondo,Cafe
1980s Games Cafe,Cafe
Go Native,"Casual Dining, Cafe"
Alchemy Coffee Roasters,Cafe
The Caramelts Cafe,Cafe
SlimSins Cafe,Cafe
Cafe Shuffle,Cafe
Krazzy Folds,Cafe
The Airos,Cafe
San Churro Cafe,"Cafe, Casual Dining"
La Grande Cafe,Cafe
Grazers,Cafe
Java City,Cafe
People Tree Cafe,Cafe
Energy Addaa,Quick Bites
KFC,Quick Bites
Bengaluru Coffee House,Quick Bites
Bhukkhad Baba,Quick Bites
Chaatimes,Quick Bites
Kabab Magic,Quick Bites
The Biriyani Pedia,Quick Bites
Paratha Junction,Quick Bites
SL Vadapav,Quick Bites
Adithya,Quick Bites
Kedia's Fun Food,Quick Bites
Chai Point,"Beverage Shop, Quick Bites"
Twiststick House,Quick Bites
Wahab,Quick Bites
Faasos,Quick Bites
Grazers,Cafe
Janahaar,Quick Bites
Juicy Momos,Quick Bites
Upahara Darshini,Quick Bites
Matru Sagar,Quick Bites
Rajanna Military Hotel,Quick Bites
Pizza Mane,Quick Bites
Bikaner Jn,Quick Bites
Cool Corner,Quick Bites
Vakulaa Veg Restaurant,Quick Bites
McDonald's,Quick Bites
Pancuzzi,Cafe
Bhavani Chats N Juice,Quick Bites
Go Native,"Casual Dining, Cafe"
San Churro Cafe,"Cafe, Casual Dining"
Bakers Town,Cafe
Sandwich Mama's And Frozen Monster,Quick Bites
Cafe Shuffle,Cafe
Cross Road Cafe,Cafe
Pizza Stop,Quick Bites
Hatti Kaapi,Quick Bites
Little Cafe,Cafe
Cane-O-La,Quick Bites
Ruchis Point,Quick Bites
Mudpipe Cafe,Cafe
The Krishna Grand Xpress,Quick Bites
Indori Chatorey,Quick Bites
Cafe Mondo,Cafe
Mug N Bean,Cafe
Pappu Da Dhaba,Quick Bites
The Airos,Cafe
Maiyas,Quick Bites
Hari Super Sandwich,Quick Bites
By 2 Coffee,Quick Bites
Java City,Cafe
Kalpavriksha Upahara,Quick Bites
New Punjabi Hotel,Quick Bites
D View Cafe,"Cafe, Quick Bites"
Krazzy Folds,Cafe
Rajvardhan Foods,Quick Bites
The Chaat Shop,Quick Bites
Food Springs,Quick Bites
Kamat Minerva,Quick Bites
Kollapuri's,Quick Bites
Davangere Benna Dose Hotel,Quick Bites
1980s Games Cafe,Cafe
Harshi Super Sandwich,Quick Bites
Karnataka Bhel House,Quick Bites
Kataria's Pakwan,Quick Bites
Kamat Bugle Rock,Quick Bites
Utsav,Quick Bites
South Kitchen,Quick Bites
Redberrys,Cafe
The Lassi Park,Quick Bites
Chef Master,Quick Bites
Cafe Cosy,Cafe
Chatar Patar,Quick Bites
Drunken Monkey,"Beverage Shop, Quick Bites"
Sri Venkateshwara Sweet Meat Stall,"Sweet Shop, Quick Bites"
Redberrys,Cafe
Tea Villa Cafe,"Cafe, Casual Dining"
Maiyas,Quick Bites
The Caramelts Cafe,Cafe
San Churro Cafe,"Cafe, Casual Dining"
Onesta,"Casual Dining, Cafe"
Kollapuri's,Quick Bites
Redberrys,Cafe
Cafe Mondo,Cafe
Little Cafe,Cafe
1980s Games Cafe,Cafe
Mavalli Tiffin Room (MTR),Quick Bites
Vidyarthi Bhavan,Quick Bites
Brahmin's Coffee Bar,Quick Bites
Kabab Magic,Quick Bites
Energy Addaa,Quick Bites
Karnataka Bhel House,Quick Bites
KFC,Quick Bites
McDonald's,Quick Bites
Hari Super Sandwich,Quick Bites
South Kitchen,Quick Bites
Udupi Sri Krishna Bhavan,Quick Bites
Ice Thunder,Quick Bites
Upahara Darshini,Quick Bites
Cool Corner,Quick Bites
Sandwichwallas,Quick Bites
Twiststick House,Quick Bites
Kamat Bugle Rock,Quick Bites
Mahalaxmi Tiffin Room,Quick Bites
Basavanagudi Mylari,Quick Bites
New Modern Hotel,Quick Bites
Hotel Janatha,Quick Bites
Chaatimes,Quick Bites
New Shanthi Sagar,Quick Bites
The Chaat Shop,Quick Bites
Shree Venkateshwara North Karnataka Hotel,Quick Bites
Kamat Minerva,Quick Bites
Harshi Super Sandwich,Quick Bites
Pizza Stop,Quick Bites
Burger King,Quick Bites
Go Native,"Casual Dining, Cafe"
Ranganna Military Hotel,Quick Bites
Alchemy Coffee Roasters,Cafe
Cafe Cosy,Cafe
The Caramelts Cafe,Cafe
SlimSins Cafe,Cafe
Cafe Shuffle,Cafe
Krazzy Folds,Cafe
The Airos,Cafe
Halli Jonne Biriyani,Quick Bites
