location,no_of_resturants
Bellandur,213
East Bangalore,8
West Bangalore,2
Indiranagar,617
BTM,811
Banashankari,149
Sahakara Nagar,8
Koramangala 7th Block,322
JP Nagar,437
Lavelle Road,183
Koramangala 3rd Block,102
Kammanahalli,125
Koramangala 2nd Block,45
St. Marks Road,113
Majestic,6
Sankey Road,10
"ITPL Main Road, Whitefield",25
CV Raman Nagar,10
Jayanagar,527
Brigade Road,276
Electronic City,130
Frazer Town,146
Sadashiv Nagar,3
Church Street,239
HSR,628
Rajajinagar,77
Kanakapura Road,1
City Market,4
Langford Town,22
Seshadripuram,33
Koramangala 6th Block,394
Jalahalli,3
Ulsoor,211
Magadi Road,2
Wilson Garden,19
North Bangalore,3
Rajarajeshwari Nagar,1
Koramangala,17
Vasanth Nagar,74
Residency Road,228
Old Airport Road,101
Infantry Road,45
Banaswadi,85
Bannerghatta Road,251
"Varthur Main Road, Whitefield",11
Cunningham Road,75
Yeshwantpur,11
Central Bangalore,3
New BEL Road,149
Sarjapur Road,242
Domlur,46
Kalyan Nagar,248
Bommanahalli,3
Basavanagudi,163
Thippasandra,15
HBR Layout,9
Sanjay Nagar,8
Old Madras Road,11
Nagawara,34
Brookefield,144
RT Nagar,5
Whitefield,382
Ejipura,38
Vijay Nagar,8
Marathahalli,328
Kumaraswamy Layout,34
Malleshwaram,216
Uttarahalli,1
Jeevan Bhima Nagar,79
Hosur Road,8
Commercial Street,59
South Bangalore,19
Race Course Road,31
Shanti Nagar,61
Hennur,28
Rammurthy Nagar,4
Koramangala 5th Block,1027
Koramangala 1st Block,242
Basaveshwara Nagar,38
Richmond Road,105
MG Road,296
Kaggadasapura,18
Shivajinagar,20
Koramangala 4th Block,328
Koramangala 8th Block,95
