name,online_order,book_table
Cafe Shuffle,Yes,Yes
The Coffee Shack,Yes,Yes
Goa 0 Km,Yes,Yes
Sri Udupi Food Hub,Yes,Yes
Patio 805,Yes,Yes
Grazers,Yes,Yes
Sea Spice by 7 Star,Yes,Yes
Subz,Yes,Yes
Cafe Shuffle,Yes,Yes
Vinny's,Yes,Yes
Brew Meister,Yes,Yes
The Coffee Shack,Yes,Yes
Sea Spice by 7 Star,Yes,Yes
Vinny's,Yes,Yes
Cafe Shuffle,Yes,Yes
The Coffee Shack,Yes,Yes
Deja Vu Resto Bar,Yes,Yes
Melt - Eden Park,Yes,Yes
Mudpipe Cafe,Yes,Yes
PHEW (Play Hard Eat Wild),Yes,Yes
Stories,Yes,Yes
Marwa Restaurant,Yes,Yes
Chavadi,Yes,Yes
Punjabi Times,Yes,Yes
Crumb Together,Yes,Yes
Two Friends Cauldron,Yes,Yes
Chicken Man,Yes,Yes
Aramane Restaurant,Yes,Yes
Caffe Pascucci,Yes,Yes
Mudpipe Cafe,Yes,Yes
Melt - Eden Park,Yes,Yes
Deja Vu Resto Bar,Yes,Yes
Two Friends Cauldron,Yes,Yes
Punjabi Times,Yes,Yes
Marwa Restaurant,Yes,Yes
Aramane Restaurant,Yes,Yes
Crumb Together,Yes,Yes
Two Friends Cauldron,Yes,Yes
Caffe Pascucci,Yes,Yes
Melt - Eden Park,Yes,Yes
Mudpipe Cafe,Yes,Yes
Deja Vu Resto Bar,Yes,Yes
Chavadi,Yes,Yes
Crumb Together,Yes,Yes
Subz,Yes,Yes
The Yellow Chilli,Yes,Yes
Onesta,Yes,Yes
Go Native,Yes,Yes
Cafe Shuffle,Yes,Yes
Krazzy Folds,Yes,Yes
Grazers,Yes,Yes
Sri Udupi Food Hub,Yes,Yes
Grazers,Yes,Yes
Patio 805,Yes,Yes
Vinny's,Yes,Yes
Stories,Yes,Yes
Protein Grillhouse,Yes,Yes
LIT Gastro Pub,Yes,Yes
Go Native,Yes,Yes
Cafe Shuffle,Yes,Yes
