location,total_votes
BTM,248350
Banashankari,53715
Banaswadi,12870
Bannerghatta Road,119575
Basavanagudi,55228
Basaveshwara Nagar,7123
Bellandur,82887
Bommanahalli,602
Brigade Road,196476
Brookefield,46651
CV Raman Nagar,1363
Central Bangalore,1150
Church Street,261087
City Market,488
Commercial Street,12276
Cunningham Road,39254
Domlur,10604
East Bangalore,2231
Ejipura,10400
Electronic City,38235
Frazer Town,29097
HBR Layout,1700
HSR,283197
Hennur,6886
Hosur Road,829
"ITPL Main Road, Whitefield",4246
Indiranagar,523575
Infantry Road,42762
JP Nagar,196315
Jalahalli,243
Jayanagar,257581
Jeevan Bhima Nagar,14851
Kaggadasapura,2929
Kalyan Nagar,91575
Kammanahalli,64532
Kanakapura Road,170
Koramangala,5574
Koramangala 1st Block,118160
Koramangala 2nd Block,5954
Koramangala 3rd Block,95443
Koramangala 4th Block,300578
Koramangala 5th Block,1357606
Koramangala 6th Block,276944
Koramangala 7th Block,223193
Koramangala 8th Block,17844
Kumaraswamy Layout,5771
Langford Town,5155
Lavelle Road,171203
MG Road,300602
Magadi Road,370
Majestic,905
Malleshwaram,109984
Marathahalli,214289
Nagawara,8263
New BEL Road,70886
North Bangalore,1593
Old Airport Road,96260
Old Madras Road,1200
RT Nagar,3163
Race Course Road,6293
Rajajinagar,42522
Rajarajeshwari Nagar,53
Rammurthy Nagar,686
Residency Road,92578
Richmond Road,25735
Sadashiv Nagar,1776
Sahakara Nagar,3944
Sanjay Nagar,1084
Sankey Road,3023
Sarjapur Road,252535
Seshadripuram,5204
Shanti Nagar,28900
Shivajinagar,5790
South Bangalore,2899
St. Marks Road,58117
Thippasandra,5649
Ulsoor,50276
Uttarahalli,102
"Varthur Main Road, Whitefield",1635
Vasanth Nagar,10837
Vijay Nagar,2865
West Bangalore,1072
Whitefield,252225
Wilson Garden,1347
Yeshwantpur,1709
